"Azure Well-Architected Review - Nov 17, 2023 - 2:38:53 AM",,,,,,,,,
,,,,,,,,,
Recommendations for your workload,,,,,,,,,
Your overall results,Critical,'0/120',,,,,,,
Reliability,Critical,'0/200',,,,,,,
Security,Critical,'0/100',,,,,,,
Cost Optimization,Critical,'0/100',,,,,,,
Operational Excellence,Critical,'0/100',,,,,,,
Performance Efficiency,Critical,'0/101',,,,,,,
,,,,,,,,,
Next Steps,,,,,,,,,
Learn about discounts.,https://learn.microsoft.com/azure/well-architected/cost-optimization/get-best-rates#evaluate-and-commit-to-available-discounts,,,,,,,,
Learn about data classification.,https://learn.microsoft.com/azure/well-architected/security/data-classification#define-the-classification-scope,,,,,,,,
Learn about safe deployment practices.,https://learn.microsoft.com/azure/well-architected/operational-excellence/safe-deployments#key-design-strategies,,,,,,,,
,,,,,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
Reliability,"RE:04 - Define healthy, degraded, and unhealthy states.",https://learn.microsoft.com/azure/well-architected/reliability/metrics#building-a-health-model,High,RE:04,,80,,N,
Reliability,RE:09 - Define recovery processes.,https://learn.microsoft.com/azure/well-architected/reliability/disaster-recovery#maintain-a-disaster-recovery-plan,High,RE:09,,75,,N,
Reliability,RE:02 - Identify all user and system flows of your workload.,https://learn.microsoft.com/azure/well-architected/reliability/identify-flows#key-design-strategies,High,RE:02,,75,,N,
Reliability,RE:04 - Define recovery targets.,https://learn.microsoft.com/azure/well-architected/reliability/metrics#recovery-metrics,High,RE:04,,75,,N,
Reliability,RE:07 - Degrade gracefully. ,https://learn.microsoft.com/azure/well-architected/reliability/self-preservation#application-design-guidance-and-patterns-1,High,RE:07,,70,,N,
Reliability,RE:06 - Ensure that all components are candidates for scaling.,https://learn.microsoft.com/azure/well-architected/reliability/scaling#key-design-strategies,High,RE:06,,70,,N,
Reliability,RE:10 - Configure alerts at critical thresholds.,https://learn.microsoft.com/azure/well-architected/reliability/monitoring-alerting-strategy#general-guidance,High,RE:10,,70,,N,
Reliability,RE:07 - Make your workload resilient to transient faults.,https://learn.microsoft.com/azure/well-architected/reliability/handle-transient-faults#key-design-strategies,High,RE:07,,70,,N,
Reliability,RE:10 - Incorporate platform monitoring and alerting services.,https://learn.microsoft.com/azure/well-architected/reliability/monitoring-alerting-strategy#general-guidance,Medium,RE:10,,65,,N,
Reliability,RE:01 - Abstract infrastructure away from domain logic.,https://learn.microsoft.com/azure/well-architected/reliability/simplify#additional-design-recommendations,Medium,RE:01,,65,,N,
Reliability,RE:04 - Build a health model. ,https://learn.microsoft.com/azure/well-architected/reliability/metrics#building-a-health-model,Medium,RE:04,,65,,N,
Reliability,RE:09 - Define what constitutes a disaster.,https://learn.microsoft.com/azure/well-architected/reliability/disaster-recovery#maintain-a-disaster-recovery-plan,Medium,RE:09,,65,,N,
Reliability,RE:09 - Conduct disaster recovery drills.,https://learn.microsoft.com/azure/well-architected/reliability/disaster-recovery#conduct-disaster-recovery-drills,Medium,RE:09,,65,,N,
Reliability,RE:07 - Use infrastructure and application design patterns.,https://learn.microsoft.com/azure/well-architected/reliability/self-preservation#self-preservation-guidance,Medium,RE:07,,65,,N,
Reliability,RE:05 - Use built-in platform capabilities for compute redundancy.,https://learn.microsoft.com/azure/well-architected/reliability/redundancy#compute-resources,Medium,RE:05,,65,,N,
Reliability,RE:06 - Understand the relationship of the flow's components for scaling.,https://learn.microsoft.com/azure/well-architected/reliability/scaling#key-design-strategies,Medium,RE:06,,60,,N,
Reliability,RE:03 - Identify the effect of failure on a workload.,https://learn.microsoft.com/azure/well-architected/reliability/failure-mode-analysis#outcome,Medium,RE:03,,60,,N,
Security,SE:05 - Secure high-impact accounts.,https://learn.microsoft.com/azure/well-architected/security/identity-access#critical-impact-accounts,High,SE:05,,100,,N,
Security,SE:05 - Make conditional access choices.,https://learn.microsoft.com/azure/well-architected/security/identity-access#make-conditional-access-choices,High,SE:05,,95,,N,
Security,SE:06 - Pass egress and ingress traffic through a firewall.,https://learn.microsoft.com/azure/well-architected/security/networking#apply-firewalls-at-the-edge,High,SE:06,,90,,N,
Security,SE:08 - Apply a deny-by-default approach.,https://learn.microsoft.com/azure/well-architected/security/harden-resources#networking,High,SE:08,,90,,N,
Security,SE:06 - Apply distributed denial-of-service (DDoS) protection.,https://learn.microsoft.com/azure/well-architected/security/networking#protect-against-distributed-denial-of-service-ddos-attacks,High,SE:06,,90,,N,
Security,SE:03 - Understand organization-defined taxonomy.,https://learn.microsoft.com/azure/well-architected/security/data-classification#understand-organization-defined-taxonomy,High,SE:03,,90,,N,
Security,SE:05 - Determine actions for authorization.,https://learn.microsoft.com/azure/well-architected/security/identity-access#determine-actions-for-authorization,High,SE:05,,90,,N,
Security,SE:10 - Record access patterns and modifications.,https://learn.microsoft.com/azure/well-architected/security/monitor-threats#identity-and-access-monitoring,High,SE:10,,90,,N,
Security,SE:09 - Use policies to control access to secrets.,https://learn.microsoft.com/azure/well-architected/security/application-secrets#key-design-strategies,High,SE:09,,90,,N,
Security,SE:08 - Provide training in hardening.,https://learn.microsoft.com/azure/well-architected/security/harden-resources#key-design-strategies,High,SE:08,,90,,N,
Security,SE:10 - Use native tools to get deep signals from the platform.,https://learn.microsoft.com/azure/well-architected/security/monitor-threats#azure-facilitation,High,SE:10,,80,,N,
Security,SE:06 - Use network security groups.,https://learn.microsoft.com/azure/well-architected/security/networking#network-security-groups,High,SE:06,,80,,N,
Security,SE:01 - Develop a security training program.,https://learn.microsoft.com/azure/well-architected/security/establish-baseline#training,High,SE:01,,80,,N,
Security,SE:05 - Provide role-based authorization.,https://learn.microsoft.com/azure/well-architected/security/identity-access#provide-role-based-authorization,High,SE:05,,80,,N,
Security,SE:07 - Use identity-based access controls to control access data.,https://learn.microsoft.com/azure/well-architected/security/encryption#data-at-rest,High,SE:07,,80,,N,
Security,SE:11 - Use penetration testing.,https://learn.microsoft.com/azure/well-architected/security/test#tests-that-simulate-attacks-through-penetration-testing,High,SE:11,,80,,N,
Security,SE:08 - Remove or disable the use of legacy protocols.,https://learn.microsoft.com/azure/well-architected/security/harden-resources#networking,High,SE:08,,80,,N,
Security,"SE:02 - Keep software, libraries, and infrastructure components up to date.",https://learn.microsoft.com/azure/well-architected/security/secure-development-lifecycle#maintenance-phase,High,SE:02,,80,,N,
Security,SE:03 - Define classification scope.,https://learn.microsoft.com/azure/well-architected/security/data-classification#define-the-classification-scope,High,SE:03,,80,,N,
Security,"SE:09 - Create distinct, preshared keys per consumer.",https://learn.microsoft.com/azure/well-architected/security/application-secrets#preshared-keys,High,SE:09,,80,,N,
Security,SE:02 - Protect developer environments.,https://learn.microsoft.com/azure/well-architected/security/secure-development-lifecycle#development-and-testing-phase,High,SE:02,,80,,N,
Security,SE:08 - Disable legacy authentication methods.,https://learn.microsoft.com/azure/well-architected/security/harden-resources#identity,High,SE:08,,80,,N,
Security,SE:04 - Use identity as a perimeter.,https://learn.microsoft.com/azure/well-architected/security/segmentation#identity-as-the-perimeter,High,SE:04,,70,,N,
Security,SE:12 - Be able to recover from an incident.,https://learn.microsoft.com/azure/well-architected/security/incident-response#recover-from-an-incident,High,SE:12,,70,,N,
Security,SE:01 - Use tools to detect drift from the baseline.,https://learn.microsoft.com/azure/well-architected/security/establish-baseline#azure-facilitation,High,SE:01,,70,,N,
Security,SE:10 - Analyze monitoring data to detect anomalies.,https://learn.microsoft.com/azure/well-architected/security/monitor-threats#detect-abuse,High,SE:10,,70,,N,
Security,SE:10 - Have an accurate and up-to-date record of system state.,https://learn.microsoft.com/azure/well-architected/security/monitor-threats#capture-system-changes,High,SE:10,,70,,N,
Security,SE:09 - Rotate and retire secrets.,https://learn.microsoft.com/azure/well-architected/security/application-secrets#secret-rotation,Low,SE:09,,20,,N,
Security,SE:12 - Assign an incident notification point of contact.,https://learn.microsoft.com/azure/well-architected/security/incident-response#assign-incident-notification,Low,SE:12,,10,,N,
Cost Optimization,CO:05 - Optimize licensing costs.,https://learn.microsoft.com/azure/well-architected/cost-optimization/get-best-rates#optimize-licensing-costs,High,CO:05,,90,,N,
Cost Optimization,CO:05 - Evaluate and commit to available discounts.,https://learn.microsoft.com/azure/well-architected/cost-optimization/get-best-rates#evaluate-and-commit-to-available-discounts,High,CO:05,,90,,N,
Cost Optimization,CO:01 - Communicate financial expectations.,https://learn.microsoft.com/azure/well-architected/cost-optimization/create-culture-financial-responsibility#communicate-financial-expectations,High,CO:01,,85,,N,
Cost Optimization,CO:07 - Cost optimize platform features.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-component-costs#optimize-platform-features,High,CO:07,,80,,N,
Cost Optimization,CO:07 - Cost optimize application features.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-component-costs#optimize-application-features,High,CO:07,,80,,N,
Cost Optimization,CO:04 - Configure access controls to manage access.,https://learn.microsoft.com/azure/well-architected/cost-optimization/set-spending-guardrails#configure-access-controls,High,CO:04,,80,,N,
Cost Optimization,CO:07 - Cost optimize workload resources.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-component-costs#optimize-workload-resources,High,CO:07,,80,,N,
Cost Optimization,CO:10 - Optimize data volume.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-data-costs#optimize-data-volume,High,CO:10,,80,,N,
Cost Optimization,CO:07 - Avoid introducing unoptimized components.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-component-costs#avoid-introducing-unoptimized-components,High,CO:07,,80,,N,
Cost Optimization,CO:05 - Decide whether to build or buy solutions.,https://learn.microsoft.com/azure/well-architected/cost-optimization/get-best-rates#decide-whether-to-build-or-buy-a-solution,High,CO:05,,75,,N,
Cost Optimization,CO:02 - Maintain the cost model.,https://learn.microsoft.com/azure/well-architected/cost-optimization/cost-model#maintain-the-cost-model,High,CO:02,,75,,N,
Cost Optimization,CO:01 - Make budgets and costs transparent.,https://learn.microsoft.com/azure/well-architected/cost-optimization/create-culture-financial-responsibility#make-budgets-and-costs-transparent,High,CO:01,,75,,N,
Cost Optimization,CO:02 - Set a budget based on the cost model.,https://learn.microsoft.com/azure/well-architected/cost-optimization/cost-model#set-a-budget,High,CO:02,,75,,N,
Cost Optimization,CO:10 - Optimize data replication.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-data-costs#optimize-data-replication,High,CO:10,,75,,N,
Cost Optimization,CO:03 - Regularly review cost data with stakeholders.,https://learn.microsoft.com/azure/well-architected/cost-optimization/collect-review-cost-data#review-cost-data,High,CO:03,,75,,N,
Cost Optimization,CO:10 - Define data priority levels.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-data-costs#prioritize-data,High,CO:10,,70,,N,
Cost Optimization,CO:10 - Take an inventory of data.,https://learn.microsoft.com/azure/well-architected/cost-optimization/optimize-data-costs#take-an-inventory-of-data,High,CO:10,,70,,N,
Operational Excellence,OE:08 - Define and understand emergency criteria.,https://learn.microsoft.com/azure/well-architected/operational-excellence/emergency-response#processes-and-procedures,High,OE:08,,85,,N,
Operational Excellence,OE:11 - Deploy changes to staging environment.,https://learn.microsoft.com/azure/well-architected/operational-excellence/safe-deployments#general-sdp-recommendations,High,OE:11,,85,,N,
Operational Excellence,OE:01 - Take responsibility for the workload.,https://learn.microsoft.com/azure/well-architected/operational-excellence/devops-culture#team-roles-and-responsibilities,High,OE:01,,80,,N,
Operational Excellence,OE:05 - Use the same infrastructure as code to deploy to a variety of environments.,https://learn.microsoft.com/azure/well-architected/operational-excellence/infrastructure-as-code-design#key-design-strategies,High,OE:05,,80,,N,
Operational Excellence,OE:06 - Make changes through supply chain process and tools.,https://learn.microsoft.com/azure/well-architected/operational-excellence/workload-supply-chain#core-tenets,High,OE:06,,80,,N,
Operational Excellence,OE:02 - Document all processes.,https://learn.microsoft.com/azure/well-architected/operational-excellence/formalize-operations-tasks#key-design-strategies,High,OE:02,,80,,N,
Operational Excellence,"OE:04 - Standardize how you write, review, and document code.",https://learn.microsoft.com/azure/well-architected/operational-excellence/tools-processes#key-design-strategies,High,OE:04,,80,,N,
Operational Excellence,OE:07 - Collect telemetry and events on the workload.,https://learn.microsoft.com/azure/well-architected/operational-excellence/observability#collection,High,OE:07,,80,,N,
Operational Excellence,OE:05 - Prefer declarative over imperative tools.,https://learn.microsoft.com/azure/well-architected/operational-excellence/infrastructure-as-code-design#key-design-strategies,High,0E:05,,75,,N,
Operational Excellence,OE:02 - Adopt industry-proven practices.,https://learn.microsoft.com/azure/well-architected/operational-excellence/formalize-operations-tasks#key-design-strategies,High,OE:02,,75,,N,
Operational Excellence,OE:11 - Use safe and consistent deployments.,https://learn.microsoft.com/azure/well-architected/operational-excellence/safe-deployments#safety-and-consistency,High,OE:11,,75,,N,
Operational Excellence,OE:03 - Collaborate on all proposed workload changes.,https://learn.microsoft.com/azure/well-architected/operational-excellence/formalize-development-practices#standards-for-development-planning,High,OE:03,,75,,N,
Operational Excellence,OE:10 - Design automation into workload features from the start.,https://learn.microsoft.com/azure/well-architected/operational-excellence/enable-automation#workload-design,High,OE:10,,75,,N,
Operational Excellence,OE:06 - Standardize your deployment method.,https://learn.microsoft.com/azure/well-architected/operational-excellence/workload-supply-chain#core-tenets,High,OE:06,,75,,N,
Operational Excellence,OE:04 - Standardize how you apply versioning to artifacts.,https://learn.microsoft.com/azure/well-architected/operational-excellence/tools-processes#key-design-strategies,High,OE:04,,75,,N,
Operational Excellence,OE:03 - Use industry-proven planning processes and tools in development.,https://learn.microsoft.com/azure/well-architected/operational-excellence/formalize-development-practices#standards-for-development-planning,High,OE:03,,75,,N,
Operational Excellence,OE:08 - Define communication and escalation plans.,https://learn.microsoft.com/azure/well-architected/operational-excellence/emergency-response#processes-and-procedures,High,OE:08,,70,,N,
Operational Excellence,OE:04 - Use well-known and mature development tools.,https://learn.microsoft.com/azure/well-architected/operational-excellence/tools-processes#key-design-strategies,High,OE:04,,70,,N,
Performance Efficiency,PE:01 - Determine the performance requirements.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/performance-targets#determine-performance-requirements,High,PE:01,,85,,N,
Performance Efficiency,PE:06 - Analyze performance testing results.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/performance-test#analyze-the-results,High,PE:06,,85,,N,
Performance Efficiency,PE:05 - Test scaling.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/scale-partition#test-scaling,High,PE:05,,85,,N,
Performance Efficiency,PE:05 - Configure scaling and set limits.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/scale-partition#configure-scaling,High,PE:05,,85,,N,
Performance Efficiency,PE:05 - Use meaningful load metrics for scaling and include a buffer.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/scale-partition#configure-scaling,High,PE:05,,85,,N,
Performance Efficiency,PE:12 - Develop a performance culture.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/continuous-performance-optimize#develop-a-performance-culture,High,PE:12,,85,,N,
Performance Efficiency,PE:04 - Instrument application code to gather performance data.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/collect-performance-data#instrument-code,High,PE:04,,85,,N,
Performance Efficiency,PE:01 - Identify key performance metrics.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/performance-targets#identify-key-metrics,High,PE:01,,85,,N,
Performance Efficiency,PE:01 - Set targets for identified performance metrics.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/performance-targets#set-specific-targets,High,PE:01,,80,,N,
Performance Efficiency,PE:03 - Evaluate data store requirements.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/select-services#evaluate-data-store-requirements,High,PE:03,,80,,N,
Performance Efficiency,PE:05 - Design infrastructure to scale.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/scale-partition#design-infrastructure-to-scale,High,PE:05,,80,,N,
Performance Efficiency,PE:06 - Define acceptance criteria for performance testing.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/performance-test#define-acceptance-criteria,High,PE:06,,80,,N,
Performance Efficiency,PE:01 - Evaluate customer feedback about performance.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/performance-targets#evaluate-customer-feedback,High,PE:01,,80,,N,
Performance Efficiency,PE:11 - Prepare for live performance issues.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/respond-live-performance-issues#prepare-for-issues,High,PE:11,,80,,N,
Performance Efficiency,PE:05 - Design the application to scale.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/scale-partition#design-application-to-scale,High,PE:05,,80,,N,
Performance Efficiency,PE:11 - Learn from live performance issues.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/respond-live-performance-issues#learn-from-findings,High,PE:11,,80,,N,
Performance Efficiency,PE:07 - Optimize infrastructure performance.,https://learn.microsoft.com/azure/well-architected/performance-efficiency/optimize-code-infrastructure#optimize-infrastructure-performance,High,PE:07,,75,,N,
-----------,,,,,,,,,
,,,,,,,,,
Category,Question,Answers,Selected Answer,Note,,,,,
Reliability,How do you keep the workload simple and efficient?,We have a deliberate goal to keep our workload simple.,,,,,,,
Reliability,How do you keep the workload simple and efficient?,We utilize platform functionality where appropriate.,,,,,,,
Reliability,How do you keep the workload simple and efficient?,We clearly abstract domain logic implementation from infrastructure management.,,,,,,,
Reliability,How do you keep the workload simple and efficient?,We offload cross-cutting services to separate services.,,,,,,,
Reliability,How do you keep the workload simple and efficient?,We implement essential capabilities in our workload for all coding efforts.,,,,,,,
Reliability,How do you keep the workload simple and efficient?,None of the above.,None of the above.,,,,,,
Reliability,How well do you understand the workload's flows?,We published a catalog of all supported flows to provide awareness for our team.,,,,,,,
Reliability,How well do you understand the workload's flows?,We understand and document the business process that each flow supports.,,,,,,,
Reliability,How well do you understand the workload's flows?,We determined what the impact is if we don't meet the requirements and targets for each flow.,,,,,,,
Reliability,How well do you understand the workload's flows?,"We've set and published organizational agreements, like ownership and escalation paths.",,,,,,,
Reliability,How well do you understand the workload's flows?,We assigned criticality to each flow and published our decisions.,,,,,,,
Reliability,How well do you understand the workload's flows?,None of the above.,None of the above.,,,,,,
Reliability,How do you perform failure mode analysis?,We decompose the workload to identify its components and their relationships.,,,,,,,
Reliability,How do you perform failure mode analysis?,We identified all internal and external dependencies.,,,,,,,
Reliability,How do you perform failure mode analysis?,We understand the performance and reliability characteristics of all our internal and external dependencies.,,,,,,,
Reliability,How do you perform failure mode analysis?,We identified failure modes for all internal and external dependencies.,,,,,,,
Reliability,How do you perform failure mode analysis?,We have failure mitigation strategies.,,,,,,,
Reliability,How do you perform failure mode analysis?,We assessed the impact of each failure mode for each of our workload's flows.,,,,,,,
Reliability,How do you perform failure mode analysis?,We documented and published the outcome of the failure mode analysis.,,,,,,,
Reliability,How do you perform failure mode analysis?,We established continuous improvement processes to reduce dependencies and review our failure mode analysis.,,,,,,,
Reliability,How do you perform failure mode analysis?,None of the above.,None of the above.,,,,,,
Reliability,How do you define reliability targets?,We have availability targets.,,,,,,,
Reliability,How do you define reliability targets?,We have recovery targets.,,,,,,,
Reliability,How do you define reliability targets?,We developed a health model based on workload availability and recovery metrics.,,,,,,,
Reliability,How do you define reliability targets?,"We agree on definitions of healthy, degraded, and unhealthy states for the workload.",,,,,,,
Reliability,How do you define reliability targets?,We implemented a process or technology to inform stakeholders of application health.,,,,,,,
Reliability,How do you define reliability targets?,None of the above.,None of the above.,,,,,,
Reliability,How do you implement redundancy?,We ensure stakeholders understand the basic concepts of high availability and that they're familiar with the related features.,,,,,,,
Reliability,How do you implement redundancy?,We derive the redundancy requirement for each flow from the business requirements and the service-level agreements (SLAs) of the components.,,,,,,,
Reliability,How do you implement redundancy?,We use platform-provided capabilities to introduce and manage the redundancy of our compute resources.,,,,,,,
Reliability,How do you implement redundancy?,"We don't have any state in the compute layer components, and we can dispose of every instance at any time without data loss.",,,,,,,
Reliability,How do you implement redundancy?,We embrace polyglot persistence and intentionally select data services based on our workload's data requirements.,,,,,,,
Reliability,How do you implement redundancy?,We replicate data across physical locations by using platform-provided capabilities whenever possible.,,,,,,,
Reliability,How do you implement redundancy?,We ensure the workload's network traffic has the appropriate level of redundancy.,,,,,,,
Reliability,How do you implement redundancy?,We follow the Deployment Stamps design pattern to deploy our workload.,,,,,,,
Reliability,How do you implement redundancy?,None of the above.,None of the above.,,,,,,
Reliability,How do define a scaling strategy?,We identified the load patterns of user and system flows.,,,,,,,
Reliability,How do define a scaling strategy?,We ensure that the scaling strategy includes all components that are candidates for scaling.,,,,,,,
Reliability,How do define a scaling strategy?,We align scaling triggers with the time that it takes for the operation to finish.,,,,,,,
Reliability,How do define a scaling strategy?,We make sure that none of our scaled components overwhelm downstream components during a scale-out operation.,,,,,,,
Reliability,How do define a scaling strategy?,We deliberately define scale units.,,,,,,,
Reliability,How do define a scaling strategy?,We use platform-provided capabilities to automatically scale components where appropriate and whenever possible.,,,,,,,
Reliability,How do define a scaling strategy?,We configure autoscaling to avoid unplanned or excessive costs.,,,,,,,
Reliability,How do define a scaling strategy?,We determined a data partitioning strategy.,,,,,,,
Reliability,How do define a scaling strategy?,Not applicable.,,,,,,,
Reliability,How do define a scaling strategy?,None of the above.,None of the above.,,,,,,
Reliability,How do you implement self-preservation and self-healing measures?,We're familiar with cloud infrastructure design as well as application design patterns for reliability. ,,,,,,,
Reliability,How do you implement self-preservation and self-healing measures?,We designed the system to follow the paradigm of loosely coupled services.,,,,,,,
Reliability,How do you implement self-preservation and self-healing measures?,We use well-known standards to enable communication between our services.,,,,,,,
Reliability,How do you implement self-preservation and self-healing measures?,We implement asynchronous communication rather than synchronous communication between components wherever appropriate.,,,,,,,
Reliability,How do you implement self-preservation and self-healing measures?,We enable the application to degrade its service gracefully.,,,,,,,
Reliability,How do you implement self-preservation and self-healing measures?,We mitigate intermittent communication failures and congestion.,,,,,,,
